Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price
HDFC,EQ,3-Jan-20,2466.4,2455,2466.4,2441.8,2452.05,2454.45,2451.88
HDFC,EQ,6-Jan-20,2454.45,2428,2445,2371.4,2389.95,2384.1,2396.09
HDFC,EQ,7-Jan-20,2384.1,2401.25,2428.8,2380.2,2420,2415.05,2406.92
HDFC,EQ,8-Jan-20,2415.05,2387,2413,2385.5,2400,2406.15,2399.4
HDFC,EQ,9-Jan-20,2406.15,2430,2462.7,2421.15,2454,2457.4,2444.29
HDFC,EQ,10-Jan-20,2457.4,2465,2477.65,2440.3,2460,2457.55,2457.59
HDFC,EQ,13-Jan-20,2457.55,2461.1,2471.05,2441,2461.5,2462.55,2452.05
HDFC,EQ,14-Jan-20,2462.55,2463.65,2499.9,2446.6,2488.3,2492.3,2476.4
HDFC,EQ,15-Jan-20,2492.3,2483.95,2495,2453.55,2491.7,2488.6,2478.41
HDFC,EQ,16-Jan-20,2488.6,2486,2495.75,2471.8,2481.45,2482.1,2483.17
HDFC,EQ,17-Jan-20,2482.1,2467.75,2479,2448.25,2452.7,2453.95,2461.39
HDFC,EQ,20-Jan-20,2453.95,2474,2486.55,2440.4,2454.3,2454.35,2458.95
HDFC,EQ,21-Jan-20,2454.35,2443,2485.9,2432,2465,2465.45,2460.71
HDFC,EQ,22-Jan-20,2465.45,2474,2483.35,2412.2,2418,2416.6,2436.65
HDFC,EQ,23-Jan-20,2416.6,2422,2436.4,2404.35,2429,2428.4,2422.03
HDFC,EQ,24-Jan-20,2428.4,2423,2458.6,2411.4,2449.15,2450.75,2440.79
HDFC,EQ,27-Jan-20,2450.75,2433,2445,2388.5,2389.95,2395.8,2415.9
HDFC,EQ,28-Jan-20,2395.8,2413,2471.7,2410,2433.4,2431.6,2444
HDFC,EQ,29-Jan-20,2431.6,2446,2447.5,2400,2406.3,2404.25,2426.93
HDFC,EQ,30-Jan-20,2404.25,2413,2428.7,2386.9,2411,2415,2412.56
HDFC,EQ,31-Jan-20,2415,2417,2434.75,2404.5,2416.4,2414,2418.92
HDFC,EQ,1-Feb-20,2414,2406,2422.7,2252.75,2262,2268.25,2327.26
HDFC,EQ,3-Feb-20,2268.25,2250,2298.05,2228.2,2265,2259.75,2267.4
HDFC,EQ,4-Feb-20,2259.75,2265.6,2351,2265.6,2344.4,2345.95,2322.43
HDFC,EQ,5-Feb-20,2345.95,2345.55,2395.5,2326.2,2390.5,2391.65,2367.47
HDFC,EQ,6-Feb-20,2391.65,2390,2447.8,2369.65,2433,2436.45,2417.21
HDFC,EQ,7-Feb-20,2436.45,2428.1,2452.3,2398.35,2405,2405.65,2420.22
HDFC,EQ,10-Feb-20,2405.65,2405,2425.3,2391.05,2412.1,2414.3,2411.39
HDFC,EQ,11-Feb-20,2414.3,2424.45,2441.75,2420.2,2436,2435.15,2432.03
HDFC,EQ,12-Feb-20,2435.15,2449.5,2487,2427.9,2433,2437.6,2452.85
HDFC,EQ,13-Feb-20,2437.6,2426,2444.15,2399,2404,2403.65,2413.1
HDFC,EQ,14-Feb-20,2403.65,2402,2425.85,2389.4,2400.25,2401.75,2403.91
HDFC,EQ,17-Feb-20,2401.75,2401.75,2406.65,2345.15,2349.9,2350.25,2365
HDFC,EQ,18-Feb-20,2350.25,2349,2349,2304,2324.05,2318.8,2320.71
HDFC,EQ,19-Feb-20,2318.8,2343,2385,2330.05,2379,2377.25,2357.57
HDFC,EQ,20-Feb-20,2377.25,2364,2377.5,2349.05,2368.5,2369.5,2365.67
HDFC,EQ,24-Feb-20,2369.5,2355,2365.2,2280.1,2303.85,2292.3,2311.58
HDFC,EQ,25-Feb-20,2292.3,2309,2320.75,2285,2307,2302.6,2305.4
HDFC,EQ,26-Feb-20,2302.6,2278,2309.5,2253.55,2276.5,2281.45,2284.08
HDFC,EQ,27-Feb-20,2281.45,2279.8,2289.6,2244.55,2265.95,2272.2,2270.66
HDFC,EQ,28-Feb-20,2272.2,2228.55,2228.55,2162.3,2186,2175.75,2191.99
